Id,Nome,Epoca,Provenienza,Materiale,Immagine,Url
"1,""Elmo Chiuso"",""ca. 1510-1520"",""Italiano, Milanese"",""Acciaio, Oro"",""https://collectionapi.metmuseum.org/api/collection/v1/iiif/650965/1560907/main-https://collectionapi.metmuseum.org/api/collection/v1/iiif/650965/1560907/main-image"",""https://www.metmuseum.org/art/collection/search/650965"""
"2,""Elmo"",""ca. 1510"",""Tedesco"",""Acciaio"",""https://collectionapi.metmuseum.org/api/collection/v1/iiif/26538/1476350/main-image"",""https://www.metmuseum.org/art/collection/search/26538"""
"3,""Elmo chiuso con visiera a forma di volto umano"",""ca. 1515"",""Tedesco, Asburgico"",""Acciaio, Oro"",""https://collectionapi.metmuseum.org/api/collection/v1/iiif/35825/1677698/main-image"",""https://www.metmuseum.org/art/collection/search/35825"""
4,Elmo Chiuso,Inizio XIX sec.,Tedesco,Acciaio,https://collectionapi.metmuseum.org/api/collection/v1/iiif/27116/1464059/main-image,https://www.metmuseum.org/art/collection/search/27116
"5,Elmo chiuso proveniente da una guarnitura realizzata per un membro della famiglia d'Avalos,ca. 1560-1570,""Tedesco, Asburgico"",""Acciaio, Oro"",https://collectionapi.metmuseum.org/api/collection/v1/iiif/23202/1677716/main-image,https://www.metmuseum.org/art/collection/search/23202"
"6,Elmo Chiuso,ca. 1500,Tedesco,""Accaio, Pelle, Tessuto"",https://collectionapi.metmuseum.org/api/collection/v1/iiif/25397/1483085/main-image,https://www.metmuseum.org/art/collection/search/25397"
7,Elmo da Assedio,XVII sec.,Italiano,Acciaio,https://collectionapi.metmuseum.org/api/collection/v1/iiif/27084/1504918/main-image,https://www.metmuseum.org/art/collection/search/27084
"8,Elmo a ciotola,XVII-XVIII sec.,Giapponese,""Ferro, Lacca, Doratura, Vernice"",http://collectionapi.metmuseum.org/api/collection/v1/iiif/24058/61560/main-image,https://www.metmuseum.org/art/collection/search/24058"
"9,Elmo chiuso per un corraziere,ca. 1615-1620,Italiano,""Acciaio, Oro, Lega di rame, Pelle"",https://collectionapi.metmuseum.org/api/collection/v1/iiif/35695/65447/main-image,https://www.metmuseum.org/art/collection/search/35695"
"10,Elmo con camaglio,tardo XV-XVI sec.,""Turco, Turcmeno"",""Acciaio, Ferro, Argento, Lega di rame"",https://collectionapi.metmuseum.org/api/collection/v1/iiif/24813/60532/main-image,https://www.metmuseum.org/art/collection/search/24813"
11,Elmo,ca 1535,Tedesco,Acciaio,https://collectionapi.metmuseum.org/api/collection/v1/iiif/24667/1508668/main-image,https://www.metmuseum.org/art/collection/search/24667
"12,Elmo Chiuso,ca. 1550,""Italiano, Milanese"",""Acciaio, Oro, Argento"",https://collectionapi.metmuseum.org/api/collection/v1/iiif/23054/58549/main-image,https://www.metmuseum.org/art/collection/search/23054"
"13,Elmo Chiuso,ca. 1540-1545,""Italiano, Milanese"",""Acciaio, Lega di rame, Oro"",https://collectionapi.metmuseum.org/api/collection/v1/iiif/22903/65296/main-image,https://www.metmuseum.org/art/collection/search/22903"
"14,Elmo all'Antica,ca. 1532-1535,""Italiano, Milanese"",Acciaio,https://collectionapi.metmuseum.org/api/collection/v1/iiif/21974/65425/main-image,https://www.metmuseum.org/art/collection/search/21974"
"15,Elmo,XVII sec.,Indiano,""Lega di ferro, Tessuto, Argento"",https://collectionapi.metmuseum.org/api/collection/v1/iiif/32062/1461716/main-image,https://www.metmuseum.org/art/collection/search/32062"
"16,Elmetto a forma di cappello da cavaliere,ca. 1630–50,Britannico,""Acciaio, Oro, Tessuto"",https://collectionapi.metmuseum.org/api/collection/v1/iiif/22776/1529002/main-image,https://www.metmuseum.org/art/collection/search/22776"
"17,Elmo a ragno,ca. 1650-1700,""Britannico o Francese"",""Acciaio, pigmenti, tessuto"",https://collectionapi.metmuseum.org/api/collection/v1/iiif/26430/1518474/main-image,https://www.metmuseum.org/art/collection/search/26430"
"18,Bacinetto con visiera rimovibile,ca. 1420-1430,Tedesco,""Acciaio, Pelle"",https://collectionapi.metmuseum.org/api/collection/v1/iiif/25393/1483074/main-image,https://www.metmuseum.org/art/collection/search/25393"
19,Elmo da giostra in stile tardo XV secolo,Metà-fine del XIX sec.,Tedesco,Acciaio,https://collectionapi.metmuseum.org/api/collection/v1/iiif/27128/1483123/main-image,https://www.metmuseum.org/art/collection/search/27128
"20,Elmo da Assedio,ca. 1625,Italiano,""Acciaio, Pelle"",https://collectionapi.metmuseum.org/api/collection/v1/iiif/26529/1484531/main-image,https://www.metmuseum.org/art/collection/search/26529"
